"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
1b21cccc-460b-43da-836c-c302fb966143,EXTENDED,Right,3.0,"#N/A","#N/A",60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,15.0
2426062a-0586-4f6a-ba8f-ce97f3e3aff9,PART #,Left,3.0,"#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,10.0
49ee9784-0db2-45e2-9b3a-6d9c5f4c4d76,DESCRIPTION,Left,3.0,"#N/A","#N/A",30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,50.0
560201f9-dc49-45da-a9ad-88e2e6055236,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,10.0
71b9251a-2373-48cc-b0c9-21b328f66051,QTY,Left,3.0,"#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,5.0
75968269-41d9-4954-9fcf-4b6823c08b15,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,15.0
aab6d1ae-bc12-4b46-b4ce-20d7bd25d381,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,35.0
cf22a5c9-638a-494c-a0e1-ed660d775acd,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,10.0
dbddf92a-3492-4cbd-98fb-668f8a152a73,DISC (%),Right,3.0,"#N/A","#N/A",50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,10.0
eb70da4a-2b80-4de3-bf1a-559d837e3027,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,20.0
eba7fb57-5fe3-4314-8eb3-50058240d543,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,10.0
fca0815e-b76d-4708-9e71-045e4f607d5a,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,"#N/A",3.0,false,10.0
